Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
DPY19L3		ENSG00000178904	Q6ZPD9	Microtubules
DST	BP240, BPA, BPAG1, CATX-15, FLJ13425, FLJ21489, FLJ30627, FLJ32235, KIAA0728, MACF2	ENSG00000151914	Q03001	Nucleoplasm, Microtubules
DTNBP1	BLOC1S8, DBND, Dysbindin, HPS7, My031	ENSG00000047579	Q96EV8	Microtubules
DYNC1I2	DIC74, DNCI2	ENSG00000077380	Q13409	Endoplasmic reticulum, Cytosol
DZIP1L	DZIP2, FLJ32844	ENSG00000158163	Q8IYY4	Microtubules
EMC3	TMEM111	ENSG00000125037	Q9P0I2	Cytosol
EML4	C2orf2, ELP120, ROPP120	ENSG00000143924	Q9HC35	Microtubules
ENSA	ARPP-19e, MGC4319, MGC78563, MGC8394	ENSG00000143420	O43768	Nucleoplasm, Nucleoli
ENTPD1	ATPDase, CD39, NTPDase-1, SPG64	ENSG00000138185	P49961	Microtubules
ERI1	THEX1	ENSG00000104626	Q8IV48	Microtubules
ERP29	C12orf8, ERp28, ERp29, ERp31, PDI-DB, PDIA9	ENSG00000089248	P30040	Microtubules
ESAM	W117m	ENSG00000149564	Q96AP7	Microtubules
ESRRA	ERR1, ERRa, ERRalpha, ESRL1, NR3B1	ENSG00000173153	P11474	Nucleoplasm, Nucleoli fibrillar center, Microtubules
EXOC1	BM-102, FLJ10893, SEC3, SEC3L1, Sec3p	ENSG00000090989	Q9NV70	Plasma membrane
F11R	CD321, JAM-1, JAM-A, JAM1, JAMA, JCAM, PAM-1	ENSG00000158769	Q9Y624	Microtubules
FAM83D	C20orf129, CHICA, dJ616B8.3	ENSG00000101447	Q9H4H8	Mitotic spindle
FAM91A1	FLJ23790	ENSG00000176853	Q658Y4	Nucleoplasm, Microtubules
FBXL20	Fbl2, Fbl20, MGC15482	ENSG00000108306	Q96IG2	Microtubules
FBXO30	Fbx30, MGC21674	ENSG00000118496	Q8TB52	Microtubules
FEZ1	UNC-76	ENSG00000149557	Q99689	Microtubules
FRYL	AF4p12, DKFZp686E205, KIAA0826, MOR2	ENSG00000075539	O94915	Cytosol
FSIP2	FLJ34780	ENSG00000188738	Q5CZC0	Microtubules
FTH1	FHC, FTH, FTHL6, PIG15, PLIF	ENSG00000167996	P02794	Microtubules
FUT9	Fuc-TIX	ENSG00000172461	Q9Y231	Nucleoplasm
GAN	GAN1, KLHL16	ENSG00000261609	Q9H2C0	Microtubules
GIGYF1	GYF1, PERQ1	ENSG00000146830	O75420	Vesicles
GIT2	KIAA0148, PKL	ENSG00000139436	Q14161	Microtubules
GLIPR2	C9orf19, GAPR-1	ENSG00000122694	Q9H4G4	Vesicles
GTF2F2	BTF4, RAP30, TFIIF	ENSG00000188342	P13984	Nucleoplasm
GYS1	GSY, GYS	ENSG00000104812	P13807	Microtubules, Cytosol
HAS3		ENSG00000103044	O00219	Microtubules
HAUS3	C4orf15, dgt3, IT1, MGC4701	ENSG00000214367	Q68CZ6	Microtubules, Mitochondria
HMMR	CD168, RHAMM	ENSG00000072571	O75330	Microtubules
HOXC8	HOX3, HOX3A	ENSG00000037965	P31273	Nucleoplasm
HPF1	C4orf27, FLJ20534	ENSG00000056050	Q9NWY4	Cytosol
HS3ST3A1	30ST3A1, 3OST3A1	ENSG00000153976	Q9Y663	Microtubules
HYPK	C15orf63, FLJ20431, HSPC136	ENSG00000242028	Q9NX55	Nucleoplasm
IFT20		ENSG00000109083	Q8IY31	Microtubules
IFT22	DKFZp761N0823, FLJ13225, FLJ14117, RABL5	ENSG00000128581	Q9H7X7	Microtubules, Cytosol
IFT43	C14orf179, FLJ32173, MGC16028	ENSG00000119650	Q96FT9	Microtubules
IGBP1	IBP1	ENSG00000089289	P78318	Microtubules
IQCB1	KIAA0036, NPHP5, SLSN5	ENSG00000173226	Q15051	Microtubules, Cytokinetic bridge, Mitotic spindle
IRAK4	NY-REN-64	ENSG00000198001	Q9NWZ3	Microtubules
IRX5	IRX-2a	ENSG00000176842	P78411	Nuclear speckles
KANK4	ANKRD38, KIAA0172	ENSG00000132854	Q5T7N3	Cytosol
KATNB1		ENSG00000140854	Q9BVA0	Plasma membrane, Cytosol
KCNE4	MiRP3	ENSG00000152049	Q8WWG9	Microtubules
