Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
EIF2B4	DKFZP586J0119, EIF-2B, EIF2B, EIF2Bdelta	ENSG00000115211	Q9UI10	Nuclear membrane
EMD	LEMD5, STA	ENSG00000102119	P50402	Nuclear membrane, Endoplasmic reticulum
ENDOD1	KIAA0830	ENSG00000149218	O94919	Nuclear membrane
EOGT	AER61, C3orf64, FLJ33770	ENSG00000163378	Q5NDL2	Nucleoplasm, Nuclear membrane
EPHA3	ETK, ETK1, HEK, HEK4, TYRO4	ENSG00000044524	P29320	Nuclear membrane, Plasma membrane, Cytosol
FA2H	FAAH, FAXDC1, FLJ25287, SPG35	ENSG00000103089	Q7L5A8	Nuclear membrane
FAM135B	C8ORFK32	ENSG00000147724	Q49AJ0	Nuclear membrane
FAM169A	KIAA0888, SLAP75	ENSG00000198780	Q9Y6X4	Nuclear membrane, Cytosol
FAM181B	LOC220382, MGC33846	ENSG00000182103	A6NEQ2	Mitochondria
FOLR1	FOLR	ENSG00000110195	P15328	Nuclear membrane
FSTL4	KIAA1061	ENSG00000053108	Q6MZW2	Mitochondria
FUT11	MGC33202	ENSG00000196968	Q495W5	Nuclear membrane
FXYD6-FXYD2		ENSG00000255245		Nuclear membrane, Vesicles
FZR1	CDC20C, CDH1, FZR, FZR2, HCDH, HCDH1, KIAA1242	ENSG00000105325	Q9UM11	Nucleoplasm, Nuclear membrane
GAPDH	GAPD	ENSG00000111640	P04406	Plasma membrane, Cytosol
GCH1	DYT14, DYT5, DYT5a, GCH, GTPCH1	ENSG00000131979	P30793	Nucleoplasm
GDF6	BMP13, KFS, KFS1, SGM1	ENSG00000156466	Q6KF10	Vesicles
GLE1	GLE1L, hGLE1, LCCS1	ENSG00000119392	Q53GS7	Nuclear membrane
GPR183	EBI2	ENSG00000169508	P32249	Nuclear membrane, Vesicles
GPR37	EDNRBL, hET(B)R-LP, PAELR	ENSG00000170775	O15354	Nuclear membrane, Cytosol
GRK5	GPRK5	ENSG00000198873	P34947	Nuclear membrane, Nuclear speckles
GTF3C3	TFIIIC102, TFiiiC2-102	ENSG00000119041	Q9Y5Q9	Nucleoplasm, Nuclear membrane
GTPBP4	CRFG, FLJ10686, FLJ10690, NGB, NOG1	ENSG00000107937	Q9BZE4	Nucleoli
HAND1	bHLHa27, eHand, Hxt, Thing1	ENSG00000113196	O96004	Nucleoplasm
HEY1	bHLHb31, CHF-2, CHF2, HERP2, HESR-1, HESR1, HRT-1	ENSG00000164683	Q9Y5J3	Nucleoplasm, Cytosol
HOXA7	HOX1, HOX1A	ENSG00000122592	P31268	Nucleoplasm
HS6ST3		ENSG00000185352	Q8IZP7	Nucleoplasm, Nuclear membrane
ICAM3	CD50, CDW50, ICAM-R	ENSG00000076662	P32942	Mitochondria
INPP4A	INPP4	ENSG00000040933	Q96PE3	Nucleoplasm, Nuclear membrane
INTS14	C15orf44, DKFZP564O1664, VWA9	ENSG00000138614	Q96SY0	Nucleoplasm, Nuclear bodies, Mitochondria
