Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
CEP152	KIAA0912, MCPH9, SCKL5	ENSG00000103995	O94986	Centrosome
CEP164	KIAA1052, NPHP15	ENSG00000110274	Q9UPV0	Centrosome
CEP170	FAM68A, KAB, KIAA0470	ENSG00000143702	Q5SW79	Centrosome
CEP170B	Cep170R, FAM68C, KIAA0284	ENSG00000099814	Q9Y4F5	Centrosome, Cytosol
CEP19	C3orf34, MGC14126	ENSG00000174007	Q96LK0	Centrosome
CEP192	FLJ10352, KIAA1569, PPP1R62	ENSG00000101639	Q8TEP8	Centrosome, Cytosol
CEP250	C-NAP1, CEP2	ENSG00000126001	Q9BV73	Centrosome
CEP290	3H11Ag, BBS14, CT87, FLJ13615, JBTS5, KIAA0373, LCA10, MKS4, NPHP6, POC3, rd16, SLSN6	ENSG00000198707	O15078	Centrosome
CEP350	CAP350, KIAA0480	ENSG00000135837	Q5VT06	Centrosome
CEP70	BITE, FLJ13036	ENSG00000114107	Q8NHQ1	Nucleoplasm, Cytosol
CEP72	FLJ10565, KIAA1519	ENSG00000112877	Q9P209	Centrosome
CEP85	CCDC21, DKFZP434L0117	ENSG00000130695	Q6P2H3	Nucleoli
CEP95	CCDC45, DKFZp667E1824	ENSG00000258890	Q96GE4	Nucleoplasm
CETN3	CEN3	ENSG00000153140	O15182	Centrosome
CHPF	CHSY2, CSS2	ENSG00000123989	Q8IZ52	Cytosol
CHST15	BRAG, GALNAC4S-6ST, KIAA0598	ENSG00000182022	Q7LFX5	Cytosol
CKAP5	ch-TOG, KIAA0097, TOG, TOGp	ENSG00000175216	Q14008	Plasma membrane, Centrosome
CLEC11A	CLECSF3, LSLCL, P47, SCGF	ENSG00000105472	Q9Y240	Centrosome
CLHC1	C2orf63, FLJ31438	ENSG00000162994	Q8NHS4	Nucleoli fibrillar center, Centrosome
CNOT10	FLJ12890, FLJ13165	ENSG00000182973	Q9H9A5	Nucleoplasm, Centrosome
CNTLN	bA340N12.1, C9orf101, C9orf39, FLJ20276	ENSG00000044459	Q9NXG0	Centrosome
CNTRL	CEP1, CEP110	ENSG00000119397	Q7Z7A1	Centrosome
CNTROB	LIP8, PP1221	ENSG00000170037	Q8N137	Centrosome
CPA4	CPA3	ENSG00000128510	Q9UI42	Nucleoplasm
CPE		ENSG00000109472	P16870	Centrosome
CPT1C	CPT1P, CPTIC, FLJ23809	ENSG00000169169	Q8TCG5	Centrosome
CRIP1	CRIP	ENSG00000213145	P50238	Nuclear speckles, Cytosol
CRMP1	DPYSL1, DRP-1	ENSG00000072832	Q14194	Centrosome
CROCC	ROLT, rootletin	ENSG00000058453	Q5TZA2	Plasma membrane, Centrosome
CTNNBL1	C20orf33, FLJ21108, NAP, NYD-SP19, P14, P14L	ENSG00000132792	Q8WYA6	Nucleoplasm
CUEDC1		ENSG00000180891	Q9NWM3	Plasma membrane, Cytosol
CXorf56	FLJ22965	ENSG00000018610	Q9H5V9	Nucleoplasm
CYB5D2	MGC32124	ENSG00000167740	Q8WUJ1	Nuclear membrane
DAPK1	DAPK, ROCO3	ENSG00000196730	P53355	Centrosome
DCAF13	DKFZP564O0463, Gm83, HSPC064, Sof1, WDSOF1	ENSG00000164934	Q9NV06	Nucleoplasm, Nucleoli
DCTN2	DCTN-50, RBP50	ENSG00000175203	Q13561	Centrosome
DCTN4		ENSG00000132912	Q9UJW0	Nucleoplasm, Centrosome
DDX11	CHL1, CHLR1, KRG2, WABS	ENSG00000013573	Q96FC9	Nucleoplasm
DENND1C	FAM31C, FLJ22757	ENSG00000205744	Q8IV53	Cytosol
DHRS1	FLJ25430, MGC20204, SDR19C1	ENSG00000157379	Q96LJ7	Nucleoplasm
DHX35	C20orf15, DDX35, FLJ22759, KAIA0875	ENSG00000101452	Q9H5Z1	Nuclear bodies
DIS3L	DIS3L1, FLJ38088, KIAA1955, MGC4562	ENSG00000166938	Q8TF46	Plasma membrane, Cytosol
DNAH14	C1orf67, DKFZp781B1548, Dnahc14, HL-18, HL18, MGC27277	ENSG00000185842	Q0VDD8	Centrosome
DNAL4	dJ327J16, PIG27	ENSG00000100246	O96015	Centrosome
DOCK8	FLJ00026, FLJ00152, FLJ00346, ZIR8	ENSG00000107099	Q8NF50	Centrosome
DVL3	KIAA0208	ENSG00000161202	Q92997	Midbody ring, Centrosome
DYNC1H1	CMT2O, DHC1, DNCH1, Dnchc1, DNCL, DNECL, HL-3, p22	ENSG00000197102	Q14204	Centrosome, Cytosol
DYNC1LI1	DNCLI1	ENSG00000144635	Q9Y6G9	Centrosome, Cytosol
DYNC1LI2	DNCLI2	ENSG00000135720	O43237	Centrosome
E2F1	RBBP3, RBP3	ENSG00000101412	Q01094	Nucleoplasm, Centrosome
EDRF1	C10orf137, DKFZp586F1019, FLJ21617	ENSG00000107938	Q3B7T1	Nucleoplasm
EEF1AKMT3	DKFZP586D0919, FAM119B, METTL21B	ENSG00000123427	Q96AZ1	Centrosome
ELP6	C3orf75, FLJ20211, TMEM103	ENSG00000163832	Q0PNE2	Nucleoplasm, Cytosol
EMC6	MGC2963, TMEM93	ENSG00000127774	Q9BV81	Centrosome
ENGASE	FLJ21865	ENSG00000167280	Q8NFI3	Centrosome, Cytosol
ENKD1	C16orf48, DKFZP434A1319	ENSG00000124074	Q9H0I2	Plasma membrane
ERCC6L	FLJ20105, PICH, RAD26L	ENSG00000186871	Q2NKX8	Centrosome
FAM117B	ALS2CR13, FLJ38771	ENSG00000138439	Q6P1L5	Nucleoplasm
FAM155A		ENSG00000204442	B1AL88	Nucleoplasm, Vesicles
FAM241B	C10orf35	ENSG00000171224	Q96D05	Nucleoplasm, Centrosome
FAM45A		ENSG00000119979	Q8TCE6	Plasma membrane, Centrosome, Cytosol
FBF1	ALB, FBF-1, FLJ00103, KIAA1863	ENSG00000188878	Q8TES7	Centrosome
FBXO9	FBX9, NY-REN-57	ENSG00000112146	Q9UK97	Centrosome
FCHO2		ENSG00000157107	Q0JRZ9	Centrosome
FGF11	FHF3, FLJ16061, MGC102953, MGC45269	ENSG00000161958	Q92914	Centrosome
FGFR1OP	FOP	ENSG00000213066	O95684	Centrosome
FKBP11	FKBP19	ENSG00000134285	Q9NYL4	Centrosome
FNTB	FPTB	ENSG00000257365	P49356	Centrosome
FOPNL	C16orf63, DKFZp686N1651, FLJ31153, FOR20, PHSECRG2	ENSG00000133393	Q96NB1	Centrosome
FP565260.6		ENSG00000280071		Mitochondria
GABBR1	GPRC3A, hGB1a	ENSG00000204681	Q9UBS5	Centrosome
GAPDHS	GAPD2, GAPDH-2, GAPDS	ENSG00000105679	O14556	Nucleoplasm
GINS4	MGC14799, SLD5	ENSG00000147536	Q9BRT9	Nucleoplasm
GNAI1		ENSG00000127955	P63096	Centrosome
GNAI3	87U6	ENSG00000065135	P08754	Centrosome
GNB5	GB5	ENSG00000069966	O14775	Nuclear speckles
GRAP		ENSG00000154016	Q13588	Centrosome
GRAPL		ENSG00000189152	Q8TC17	Centrosome
GTSE1	B99, GTSE-1	ENSG00000075218	Q9NYZ3	Centrosome
GVQW3		ENSG00000179240	Q3ZCU0	Nucleoplasm, Centrosome
HAUS1	CCDC5, FLJ40084, HEI-C, HsT1461	ENSG00000152240	Q96CS2	Cytosol
HAUS2	C15orf25, CEP27, FLJ10460, HsT17025	ENSG00000137814	Q9NVX0	Nucleoplasm, Cytosol
HAUS7	UCHL5IP, UIP1	ENSG00000213397	Q99871	Plasma membrane, Centrosome, Cytosol
HGF	DFNB39, F-TCF, HGFB, HPTA, SF	ENSG00000019991	P14210	Cytosol
HIPK1	KIAA0630, MGC26642, MGC33446, MGC33548, Myak, Nbak2	ENSG00000163349	Q86Z02	Nucleoplasm, Centrosome, Cytosol
HMMR	CD168, RHAMM	ENSG00000072571	O75330	Microtubules
HNMT		ENSG00000150540	P50135	Nucleoplasm, Cytosol
HOXB4	HOX2, HOX2F	ENSG00000182742	P17483	Nucleoplasm, Centrosome
HPS4	BLOC3S2, KIAA1667, LE	ENSG00000100099	Q9NQG7	Centrosome
HSPA4L	APG-1, HSPH3, Osp94	ENSG00000164070	O95757	Centrosome, Cytosol
HSPBP1	FES1, HspBP1	ENSG00000133265	Q9NZL4	Cytosol
ID2	bHLHb26, GIG8	ENSG00000115738	Q02363	Nucleoplasm, Nuclear bodies
IFT81	CDV-1R, CDV1, MGC4027	ENSG00000122970	Q8WYA0	Centrosome, Cytosol
IL1RN	ICIL-1RA, IL-1RN, IL1F3, IL1RA, IRAP, MGC10430	ENSG00000136689	P18510	Nucleoplasm
INPP4B		ENSG00000109452	O15327	Centrosome
INTS6L	DDX26B, FLJ41215	ENSG00000165359	Q5JSJ4	Centrosome
ITGB6		ENSG00000115221	P18564	Nucleoplasm, Cell Junctions
ITPRIPL2	FLJ22994, LOC162073, MGC126798, MGC126800	ENSG00000205730	Q3MIP1	Centrosome
IVL		ENSG00000163207	P07476	Cytosol
KAT2B	GCN5, GCN5L, P/CAF, PCAF	ENSG00000114166	Q92831	Nucleoplasm
KCNH5	eag2, H-EAG2, Kv10.2	ENSG00000140015	Q8NCM2	Centrosome
KIAA0753	MNR, OFIP	ENSG00000198920	Q2KHM9	Centrosome, Cytosol
KIAA1109	FLJ21404, FSA, KIAA1371, Tweek	ENSG00000138688	Q2LD37	Nucleoplasm, Centrosome
KIAA1211L	C2orf55, MGC42367	ENSG00000196872	Q6NV74	Microtubules, Centrosome
KIF19	FLJ37300, KIF19A	ENSG00000196169	Q2TAC6	Plasma membrane
KIF2A	HK2, KIF2	ENSG00000068796	O00139	Nucleoplasm, Nucleoli, Centrosome
KIF2C	CT139, KNSL6, MCAK	ENSG00000142945	Q99661	Nucleoplasm, Centrosome
KIF6	C6orf102, dJ1043E3.1, dJ137F1.4, dJ188D3.1, DKFZp451I2418, MGC33317	ENSG00000164627	Q6ZMV9	Centrosome
KIFC1	HSET, KNSL2	ENSG00000237649	Q9BW19	Centrosome
KLHL21	KIAA0469	ENSG00000162413	Q9UJP4	Centrosome
KLHL35	FLJ33790	ENSG00000149243	Q6PF15	Nucleoplasm, Centrosome
KXD1	BORCS4, C19orf50, FLJ25480, KXDL, MGC2749	ENSG00000105700	Q9BQD3	Nucleoli fibrillar center, Centrosome, Cytosol
LEO1		ENSG00000166477	Q8WVC0	Nucleoplasm, Nucleoli fibrillar center
LEPROT	FLJ90360, OB-RGRP, OBRGRP, VPS55	ENSG00000213625	O15243	Centrosome
LGI2	FLJ10675, KIAA1916	ENSG00000153012	Q8N0V4	Centrosome
LINC02203		ENSG00000280709		Centrosome
LIPT2		ENSG00000175536	A6NK58	Vesicles
LMF2	TMEM112B, TMEM153	ENSG00000100258	Q9BU23	Centrosome
LMNTD1	FLJ36004, IFLTD1, Pas1c1	ENSG00000152936	Q8N9Z9	Nucleoplasm, Centrosome
LONRF1	FLJ23749, RNF191	ENSG00000154359	Q17RB8	Plasma membrane, Cytosol
LRRC45	MGC20806	ENSG00000169683	Q96CN5	Centrosome, Cytosol
LRRC7	densin-180, KIAA1365	ENSG00000033122	Q96NW7	Plasma membrane, Cytosol
LRRCC1	CLERC, KIAA1764, VFL1	ENSG00000133739	Q9C099	Centrosome
LTB	p33, TNFC, TNFSF3	ENSG00000227507	Q06643	Centrosome
LZTR1	BTBD29, LZTR-1	ENSG00000099949	Q8N653	Nucleoplasm
MAGEB16		ENSG00000189023	A2A368	Nucleoplasm
MAL		ENSG00000172005	P21145	Golgi apparatus
MAP7D3	FLJ12649	ENSG00000129680	Q8IWC1	Centrosome
MAPKAPK2		ENSG00000162889	P49137	Nucleoplasm
MDH1		ENSG00000014641	P40925	Centrosome, Cytosol
MDM1		ENSG00000111554	Q8TC05	Centrosome
MED20	DKFZp586D2223, PRO0213, SRB2, TRFP	ENSG00000124641	Q9H944	Centrosome
MFAP1	AMP	ENSG00000140259	P55081	Nucleoplasm
MKKS	BBS6	ENSG00000125863	Q9NPJ1	Centrosome
MOGAT3	DC7, DGAT2L2, MGAT3	ENSG00000106384	Q86VF5	Centrosome
MTMR1		ENSG00000063601	Q13613	Centrosome
MTMR11	CRA	ENSG00000014914	A4FU01	Centrosome
MTMR9	C8orf9, DKFZp434K171, LIP-STYX, MTMR8	ENSG00000104643	Q96QG7	Centrosome
MYO18B	BK125H2.1	ENSG00000133454		Nucleoplasm, Centrosome
MZT2A	FAM128A, MOZART2A	ENSG00000173272	Q6P582	Centrosome
MZT2B	FAM128B, FLJ14346, MOZART2B	ENSG00000152082	Q6NZ67	Centrosome
N4BP3	LZTS4	ENSG00000145911	O15049	Nucleoplasm
N6AMT1	C21orf127, HEMK2, MTQ2, N6AMT, PRED28	ENSG00000156239	Q9Y5N5	Centrosome
NAA11	ARD1B, ARD2, hARD2	ENSG00000156269	Q9BSU3	Nucleoplasm
NAE1	APP-BP1, APPBP1, ula-1	ENSG00000159593	Q13564	Nucleoplasm
