Gene	Gene synonym	Ensembl	Uniprot	Subcellular main location
FHL2	DRAL, SLIM3	ENSG00000115641	Q14192	Actin filaments, Focal adhesion sites
FILIP1	FILIP, KIAA1275	ENSG00000118407	Q7Z7B0	Plasma membrane, Actin filaments
FLNA	ABP-280, FLN, FLN1, OPD1, OPD2	ENSG00000196924	P21333	Plasma membrane, Actin filaments, Cytosol
FLNB	ABP-278, FH1, FLN1L, LRS1, TABP, TAP	ENSG00000136068	O75369	Plasma membrane
FLT1	FLT, VEGFR1	ENSG00000102755	P17948	Plasma membrane, Actin filaments
FMN2		ENSG00000155816	Q9NZ56	Plasma membrane, Actin filaments
FNDC7	FLJ35838	ENSG00000143107	Q5VTL7	Actin filaments
FRMD1	bA164L23.1, DKFZp434O0117, FLJ00181, FLJ22615, FLJ40260	ENSG00000153303	Q8N878	Actin filaments
FSD1L	CCDC10, CSDUFD1, FSD1CL, FSD1NL	ENSG00000106701	Q9BXM9	Plasma membrane
GANC		ENSG00000214013	Q8TET4	Nucleoplasm, Actin filaments
GAS7	KIAA0394, MGC1348	ENSG00000007237	O60861	Plasma membrane
GBP2		ENSG00000162645	P32456	Nucleoplasm
GPR137	C11orf4, GPR137A, TM7SF1L1	ENSG00000173264	Q96N19	Nucleoplasm, Nucleoli
GPR27	SREB1	ENSG00000170837	Q9NS67	Nucleoplasm
GPX8	EPLA847, UNQ847	ENSG00000164294	Q8TED1	Actin filaments, Cytosol
GSN	DKFZp313L0718	ENSG00000148180	P06396	Actin filaments
H1F0	H10, H1FV	ENSG00000189060	P07305	Nucleoplasm, Nuclear bodies
HELZ	DHRC, HUMORF5, KIAA0054	ENSG00000198265	P42694	Nucleoli
HS6ST3		ENSG00000185352	Q8IZP7	Nucleoplasm, Nuclear membrane
ICOS	AILIM, CD278	ENSG00000163600	Q9Y6W8	Plasma membrane
IFT46	C11orf2, C11orf60, CFAP32, FLJ21827	ENSG00000118096	Q9NQC8	Actin filaments
INTS6	DBI-1, DDX26, DDX26A, DICE1, HDB, INT6, Notchl2	ENSG00000102786	Q9UL03	Nucleoplasm
IQCG	CFAP122, DKFZp434B227, DRC9	ENSG00000114473	Q9H095	Actin filaments
JTB	hJT, PAR	ENSG00000143543	O76095	Vesicles
KCNK6	K2p6.1, TWIK-2	ENSG00000099337	Q9Y257	Plasma membrane, Cytosol
KCNN1	hSK1, KCa2.1	ENSG00000105642	Q92952	Actin filaments, Cytosol
KIF19	FLJ37300, KIF19A	ENSG00000196169	Q2TAC6	Plasma membrane
KLC3	KLC2L, KLCt, KNS2B	ENSG00000104892	Q6P597	Actin filaments
KLHL14	KIAA1384	ENSG00000197705	Q9P2G3	Cytosol
KLHL23	FLJ37812, MGC22679, MGC2610	ENSG00000213160	Q8NBE8	Nucleoplasm, Actin filaments
LAD1		ENSG00000159166	O00515	Actin filaments
LCP1	CP64, L-PLASTIN, LC64P, PLS2	ENSG00000136167	P13796	Plasma membrane, Cytosol
LHFPL2	KIAA0206	ENSG00000145685	Q6ZUX7	Actin filaments
LIMA1	EPLIN	ENSG00000050405	Q9UHB6	Plasma membrane, Actin filaments
LIMCH1	DKFZP686A01247, LIMCH1A, LMO7B	ENSG00000064042	Q9UPQ0	Actin filaments
LMO7	FBX20, FBXO20, KIAA0858	ENSG00000136153	Q8WWI1	Actin filaments
LPIN2	KIAA0249	ENSG00000101577	Q92539	Cytosol
LRCH1	CHDC1, KIAA1016	ENSG00000136141	Q9Y2L9	Actin filaments, Cytosol
LRRFIP2	HUFI-2	ENSG00000093167	Q9Y608	Plasma membrane, Actin filaments
LSM6	YDR378C	ENSG00000164167	P62312	Actin filaments
LUZP1	LUZP	ENSG00000169641	Q86V48	Actin filaments
LYSMD4	FLJ33008	ENSG00000183060	Q5XG99	Actin filaments
LYZ		ENSG00000090382	P61626	Golgi apparatus, Actin filaments
MACF1	ABP620, ACF7, FLJ45612, FLJ46776, KIAA0465, KIAA1251, MACF	ENSG00000127603	Q9UPN3	Plasma membrane, Cell Junctions, Actin filaments
MAGEF1		ENSG00000177383	Q9HAY2	Actin filaments
MAP3K10	MEKK10, MLK2, MST	ENSG00000130758	Q02779	Nucleoplasm, Actin filaments, Cytosol
