MitoCarta Gene	Protein ID
SLC22A4	 Q9H015
COMT	 P21964
C12orf10	 Q86UA3
SPATA20	 Q8TB22
GNG5	P63218
CCDC127	Q96BQ5
CRY1	 Q16526
ACSL4	 O60488
MGME1	 Q9BQP7
SEPT4	 O43236
EMC2	 Q15006
EFHD1	 Q9BUP0
C20orf24	 Q9BUV8
SPTLC2	 O15270
AGR2	 O95994
NT5C	 Q8TCD5
NCOA4	 Q13772
NEU4	Q8WWR8
AGK	 Q53H12
DUS2	 Q9NX74
TOMM34	 Q15785
KIAA0391	 O15091
TCHP	 Q9BT92
CKMT1B	 UMTCK
NDUFB1	 O75438
ATP5J2-PTCD1	B4DJ38
CASP8	 Q14790
BCL2L1	 Q07817
RPL35A	 P18077
ARMC10	 Q8N2F6
CDC25C	 P30307
CYB5R2	 Q6BCY4
RAB32	Q13637
THG1L	 Q9NWX6
RAB11FIP5	 Q9BXF6
GOLPH3	 Q9H4A6
PREPL	Q4J6C6
CEP89	 Q96ST8
FASTKD3	Q14CZ7
NUCB2	 P80303
TCIRG1	 Q13488
NBR1	 Q14596
FKBP10	 Q96AY3
RCN2	 Q14257
SETD9	 Q8NE22
RPIA	 P49247
LAMC1	 P11047
PICK1	 Q9NRD5
ALKBH1	 Q13686
NSUN3	 Q9H649
BCL2L2	 Q92843
BCL2	 P10415
BAD	 Q92934
PAK7	 Q9P286
ND6	 P03923
DNA2	 P51530
DMPK	 Q09013
PRSS35	 Q8N3Z0
PABPC5	 Q96DU9
AKAP10	 O43572
SERAC1	Q96JX3
ATP10D	 Q9P241
STX17	P56962
TRMT61B	Q9BVS5
PLGRKT	 Q9HBL7
RPL34	 P49207
SECISBP2	 Q96T21
MTCP1	 P56278
C2orf69	Q8N8R5
C10orf10	 Q9NTK1
ASAH2	 Q9NR71
CLIC4	 Q9Y696
SNAP29	 O95721
TRMT11	 Q7Z4G4
ARMS2	 P0C7Q2
