GeneName	Description	Process
57	Mrps18b	28S ribosomal protein S18b, mitochondrial (MRP-S18-b) (Mrps18-b) (S18mt-b) (28S ribosomal protein S18-2, mitochondrial) (MRP-S18-2)	Ribosomal
58	Mrps5	28S ribosomal protein S5, mitochondrial (MRP-S5) (S5mt)	Ribosomal
59	Mrps15	28S ribosomal protein S15, mitochondrial (MRP-S15) (S15mt)	Ribosomal
60	Mrps33	28S ribosomal protein S33, mitochondrial (MRP-S33) (S33mt) (Ganglioside-induced differentiation-associated-protein 3)	Ribosomal
61	Mrps11	28S ribosomal protein S11, mitochondrial (MRP-S11) (S11mt)	Ribosomal
62	Mrps31	28S ribosomal protein S31, mitochondrial (MRP-S31) (S31mt) (Imogen 38)	Ribosomal
63	Mrps22	28S ribosomal protein S22, mitochondrial (MRP-S22) (S22mt)	Ribosomal
64	Mrps17	28S ribosomal protein S17, mitochondrial (MRP-S17) (S17mt)	Ribosomal
65	Mrps10	28S ribosomal protein S10, mitochondrial (MRP-S10) (S10mt)	Ribosomal
66	Mrps2	28S ribosomal protein S2, mitochondrial (MRP-S2) (S2mt)	Ribosomal
67	Mrps26	28S ribosomal protein S26, mitochondrial (MRP-S26) (S26mt)	Ribosomal
68	Mrps34	28S ribosomal protein S34, mitochondrial (MRP-S34) (S34mt) (T-complex expressed gene 2 protein)	Ribosomal
69	Mrps6	28S ribosomal protein S6, mitochondrial (MRP-S6) (S6mt)	Ribosomal
70	Mrps35	28S ribosomal protein S35, mitochondrial (MRP-S35) (S35mt)	Ribosomal
71	Mrps28	28S ribosomal protein S28, mitochondrial (MRP-S28) (S28mt)	Ribosomal
72	Mrps27	28S ribosomal protein S27, mitochondrial (MRP-S27) (S27mt) (Mitochondrial ribosomal protein S27)	Ribosomal
73	Mrps12	28S ribosomal protein S12, mitochondrial (MRP-S12) (S12mt) (MT-RPS12)	Ribosomal
74	Mrps7	28S ribosomal protein S7, mitochondrial (MRP-S7) (S7mt)	Ribosomal
75	Mrps16	28S ribosomal protein S16, mitochondrial (MRP-S16) (S16mt)	Ribosomal
76	Mrps21	28S ribosomal protein S21, mitochondrial (MRP-S21) (S21mt)	Ribosomal
77	Mrps14	28S ribosomal protein S14, mitochondrial (MRP-S14) (S14mt)	Ribosomal
78	Mrps9	28S ribosomal protein S9, mitochondrial (MRP-S9) (S9mt)	Ribosomal
79	Chchd1	Coiled-coil-helix-coiled-coil-helix domain-containing protein 1 (28S ribosomal protein S37, mitochondrial) (MRP-S37)	Ribosomal
80	Ptcd3	Pentatricopeptide repeat domain-containing protein 3, mitochondrial (28S ribosomal protein S39, mitochondrial) (MRP-S39)	Ribosomal
81	Aurkaip1	Aurora kinase A-interacting protein (AURKA-interacting protein) (28S ribosomal protein S38, mitochondrial) (MRP-S38)	Ribosomal
82	Dap3	28S ribosomal protein S29, mitochondrial (MRP-S29) (S29mt) (Death-associated protein 3) (DAP-3)	Ribosomal
